SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199126724675,[SL] ZOMAN,41.34643,3008,3001,60000000
76561198064346397,[RTR]Mark,41.6055,3008,1002,30002
76561198050792757,justMaki,41.63663,38000000,3006,56000000
76561199027567424,[SLOW] Hydro,41.74145,40000000,3001,57000000
76561198106476018,[CTR]jandje,41.77102,32000000,2001,29000000
76561198965056659,[HDWQ]zivecef,41.83356,38000000,3001,20002
76561198030459761,[GSR]Istaysideway,41.98091,36000000,1008,2017
76561198896246339,RoundNzt,41.98751,44000,1002,59000000
76561198335037968,[TBD]A2 Zecklord,42.09594,38001,1006,49000006
76561198047403251,[cozy]St Nicholas,42.13675,38000000,3001,58000000
76561198056301310,matt,42.2252,5000,1006,8001
76561198851912263,Lexer,42.48337,1014,3002,58000000
76561197996872205,Erko,42.59444,1001,3004,6004
76561198259463003,[CTR]R0nanC,42.65674,54000000,3000,6100
76561199242599801,[XTR]Hawk,42.83365,35006,1001,6004
76561198027169155,DeiRex,42.94889,38001,3004,22000
76561199128560669,GrahamPlayz8,43.06068,22002,3002,24002
76561198932043314,Metalted,43.21269,45002,1002,23001
76561199138381808,[KBR] shadeely,43.38473,3009,3006,22003
76561197989028539,Diabler,43.51712,1014,1001,22000
76561198031919228,Akane,43.91399,55000001,3006,30000000
76561198040113746,Richhyyyy,44.01083,5004,3001,14000
76561198974231691,agix,44.12608,6001,4004,23001
76561198838593572,invisiblecat8,44.12828,13005,1002,24005
76561197996376845,Arder,44.19185,3004,1003,2001
76561198159335356,Microknigh7,44.23632,11000,1000,1000
76561198311835092,MichelleX,44.32458,13004,1008,23007
76561198199830705,[badr] Hidef09,44.363,13003,2000,2021
76561197980151170,Shadynook,44.64035,3001,1006,14001
76561198870312435,[XTR] NATHAN,44.72303,3003,2000,14000000
76561198048503797,AssassinLV,45.23689,49000008,1006,49000013
76561199002720572,vortex,45.66286,32000000,2001,23001
76561199077441365,DeegieCH123,46.05657,47000000,4004,34000000
76561198076209946,maskeddog,46.47609,2003,1008,1002
76561198841035992,Jaydark,46.77126,12000000,1004,6004
76561198120703231,Dylan,47.87066,38002,1005,5006
