SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198050792757,justMaki,47.7098,38000000,3006,56000000
76561198056301310,matt,47.76884,5000,1006,8001
76561199126724675,[SL] ZOMAN,47.80854,3008,3001,60000000
76561198106476018,[CTR]jandje,47.98231,32000000,2001,29000000
76561197996872205,Erko,48.00853,1001,3004,6004
76561198064346397,[RTR]Mark,48.06673,3008,1002,30002
76561198047403251,[cozy]St Nicholas,48.31774,38000000,3001,58000000
76561199027567424,[SLOW] Hydro,48.33694,40000000,3001,57000000
76561198851912263,Lexer,48.50259,1014,3002,58000000
76561198335037968,[TBD]A2 Zecklord,48.6559,38001,1006,49000006
76561198259463003,[CTR]R0nanC,48.86182,54000000,3000,6100
76561198027169155,DeiRex,48.90351,38001,3004,22000
76561198896246339,RoundNzt,48.91393,44000,1002,59000000
76561198030459761,[GSR]Istaysideway,48.92698,36000000,1008,2017
76561198965056659,[HDWQ]zivecef,48.96596,38000000,3001,20002
76561198031919228,Akane,49.4641,55000001,3006,30000000
76561199242599801,[XTR]Hawk,49.53724,35006,1001,6004
76561199128560669,GrahamPlayz8,49.69236,22002,3002,24002
76561198932043314,Metalted,49.79501,45002,1002,23001
76561198974231691,agix,49.84192,6001,4004,23001
76561197989028539,Diabler,49.88576,1014,1001,22000
76561199180150756,GearworkDragon,49.92382,9000,1004,30003
76561199138381808,[KBR] shadeely,49.93472,3009,3006,22003
76561199051019898,[heyo]potatotron,49.95452,38003,1006,5000
76561197996376845,Arder,50.06021,3004,1003,2001
76561197980151170,Shadynook,50.50114,3001,1006,14001
76561198311835092,MichelleX,50.82282,13004,1008,23007
76561199543183666,Jinx,50.85434,45003,1011,24003
76561199002720572,vortex,51.11758,32000000,2001,23001
76561198838593572,invisiblecat8,51.16258,13005,1002,24005
76561198159335356,Microknigh7,51.76598,11000,1000,1000
76561198134878298,SnowWolfyx2,51.88297,38001,1006,15004
76561198870312435,[XTR] NATHAN,51.95987,3003,2000,14000000
76561198331129240,slender9979,52.47825,6004,2000,13000
76561198048503797,AssassinLV,52.75294,49000008,1006,49000013
76561199209780296,ThatDevTim,52.79994,35002,1005,5100
76561198011458612,Shinraï,53.7654,7000,1000,23000
76561198076209946,maskeddog,54.34996,2003,1008,1002
76561198043471291,dizzledee,58.4622,8000,1006,21003
