SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198064346397,[RTR]Mark,45.80722,3008,1002,30002
76561199126724675,[SL] ZOMAN,45.84329,3008,3001,60000000
76561198056301310,matt,45.88116,5000,1006,8001
76561198050792757,justMaki,46.13751,38000000,3006,56000000
76561198851912263,Lexer,46.45903,1014,3002,58000000
76561199027567424,[SLOW] Hydro,46.48101,40000000,3001,57000000
76561198965056659,[HDWQ]zivecef,46.57333,38000000,3001,20002
76561198047403251,[cozy]St Nicholas,46.65519,38000000,3001,58000000
76561197996872205,Erko,46.65601,1001,3004,6004
76561198030459761,[GSR]Istaysideway,46.74168,36000000,1008,2017
76561198335037968,[TBD]A2 Zecklord,46.83151,38001,1006,49000006
76561199242599801,[XTR]Hawk,46.89443,35006,1001,6004
76561198974231691,agix,47.07553,6001,4004,23001
76561199128560669,GrahamPlayz8,47.17635,22002,3002,24002
76561197980151170,Shadynook,47.21121,3001,1006,14001
76561198259463003,[CTR]R0nanC,47.29503,54000000,3000,6100
76561199051019898,[heyo]potatotron,47.39006,38003,1006,5000
76561198932043314,Metalted,47.6647,45002,1002,23001
76561198838593572,invisiblecat8,47.69725,13005,1002,24005
76561199115313906,[OREO]Pigbuy,47.70926,3008,3001,49000002
76561198031919228,Akane,47.75334,55000001,3006,30000000
76561198330834751,outcast,47.76525,41001,1000,22000
76561198311835092,MichelleX,47.79356,13004,1008,23007
76561197989028539,Diabler,47.80051,1014,1001,22000
76561199180150756,GearworkDragon,48.0251,9000,1004,30003
76561199138381808,[KBR] shadeely,48.02947,3009,3006,22003
76561197996376845,Arder,48.31517,3004,1003,2001
76561199543183666,Jinx,48.39249,45003,1011,24003
76561198870312435,[XTR] NATHAN,48.79765,3003,2000,14000000
76561198076209946,maskeddog,48.85051,2003,1008,1002
76561199073700659,MasterGamer64,49.09059,3001,1004,34000000
76561199002720572,vortex,49.24138,32000000,2001,23001
76561198048503797,AssassinLV,53.61687,49000008,1006,49000013
76561198097526773,LucikS,68.82185,2000,1008,1000
