SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199028380903,[RTR] flying_pancake12,38.14799,38000000,1003,2024
76561198050792757,justMaki,38.39562,42000000,5002,56000000
76561198064346397,[RTR]Mark,38.80734,3008,1002,30002
76561198259463003,[CTR]R0nanC,38.93616,54000000,3000,10002
76561198030459761,[RTR]Istaysideway,39.21837,36000000,1008,2017
76561198091849339,Hi Im Yolo,39.25724,22003,3002,56000000
76561199126724675,[Dork] ZOMAN,39.33697,61000000,5001,59000000
76561198838593572,invisiblecat8,39.38393,13005,1002,24005
76561198932043314,[ZMS] Metalted,39.40314,49000016,1002,32001
76561198027169155,DeiRex,39.49088,38001,3004,22000
76561197989028539,Diabler,39.58385,26005,1001,22000
76561198031919228,Akane,39.63354,55000001,3006,30000000
76561197965180640,Trapdoor,39.65028,16000000,2001,15000000
76561198008520019,Giganten,39.65608,41000,3001,2004
76561198047403251,[cozy]St Nicholas,39.72043,36000000,5001,32001
76561198040113746,Richhyyyy,39.90733,5004,3001,14000
76561197980151170,Shadynook,39.92453,3001,1006,58000000
76561198965056659,[ZST]zivecef,40.03193,38000000,5000,20002
76561198017668945,Striking Vyper,40.04226,6001,1004,33002
76561198311835092,MichelleX,40.05855,13004,1008,23007
76561198073514582,klun_,40.16685,33000000,2002,20001
76561199037373763,Hate Hater,40.23553,12000000,1000,23000000
76561198048503797,AssassinLV,40.27515,38001,2002,6000
76561198022170162,PredCat,40.27983,5004,3001,19000
76561198366099874,TusBro,40.33447,12000000,4000,9000
76561198166356802,[BKD] Beans,40.33995,12000000,1002,5000
76561199138381808,[RonC] shadeely,40.38742,3009,3006,10002
76561198159073318,GuAlexItar,40.41551,32002,3001,22002
76561197996376845,Arder,40.49193,3004,1003,2001
76561198033254299,Bampin,40.73697,13002,3004,23004
76561198076209946,maskeddog,40.76928,2003,1008,1002
76561198151320543,[Toe] Tanaka,40.88791,37001,1002,49000013
76561198073550958,Pungo,42.05853,38001,1004,29000000
76561198381735297,octolo,42.08818,11000,1006,10000
76561198402005981,jtc3161,42.90461,2000,1005,2002
76561199465214065,milokittykat,42.97252,45003,1007,11001
76561198098809740,Panda Pandemic,45.73359,3005,1000,2028
76561198008958939,Zeth,47.03718,3000,1002,49000002
