SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199024808939,Kernkob,44.41338,40000000,3002,6200
76561198851912263,Lexer,44.84081,1014,3002,58000000
76561198205579857,Linzi,46.02789,38000000,5002,32001
76561198021974488,[CTR] NathWalt,46.0483,6001,3000,14001
76561198082304391,[CTR]TheBamboozler,46.13527,63000000,5000,58000000
76561198335037968,A2 Zecklord,46.32467,37004,1006,33001
76561198290668879,[Soap] Socks242,46.43651,63000000,5001,57000000
76561198974231691,agix,47.24835,27000,4004,23001
76561199173536675,[CTR]OwlPlague,47.69342,61000000,5000,68000000
76561199051019898,[heyo]potatotron,49.57868,38003,1006,5000
76561199027567424,[SLOW] Hydro,50.40118,40000000,3001,57000000
76561199133892176,Ender,50.63401,39000,4004,23001
76561198180909591,Odist,51.88086,3005,2000,24000000
76561198094743890,ttv/FloshaHD,54.29123,3007,3000,20003
76561198124868209,hermitwolf,54.49768,27001,1002,5000
76561198067016097,[KOMM] masterofpi11436,56.69005,11000000,1001,28000000
76561198041491398,Lady Katharine,88.55855,3001,2002,25000000
