SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198106476018,[CTR]jandje,56.01481,61000000,3001,59000000
76561198050792757,justMaki,56.22384,42000000,5002,56000000
76561197980151170,Shadynook,56.82893,3001,1006,58000000
76561199230094250,[RTR]Fwogiie,57.09296,3009,1008,31005
76561198160604987,[EVO]Tritonas1237,57.15897,36000000,5000,6200
76561198064346397,[RTR]Mark,57.65405,3008,1002,30002
76561199128560669,Graham The Guy,57.79707,22002,3002,59000000
76561198047403251,St Nicholas,58.08311,36000000,5001,72000000
76561198027169155,DeiRex,59.06225,38001,3004,22000
76561198072185237,Nails,59.15026,28003,2000,14000
76561199135775747,[TOOB] Renergy,59.52431,37004,3004,18000000
76561199278221929,icRS,60.03039,30001,1008,32002
76561198932043314,[ZMS] Metalted,60.91051,49000016,1002,32000
76561198031919228,Akane,60.93252,55000001,3006,30000000
76561198048503797,AssassinLV,61.00953,38001,2002,6000
76561197970830160,Cactushead,61.86765,38001,1004,2004
76561199208124083,[TOB] rtyyyyb,63.85894,3006,1005,23000000
76561198086671586,The Stig,64.77207,3005,1000,2021
76561197996376845,Arder,65.14613,3004,1003,2001
76561199543183666,Jinx,66.54333,37000,3000,31003
76561198076209946,maskeddog,68.28158,2003,1008,1002
76561199542658420,Zinix,68.94167,26004,4000,23002
