SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198161379363,[CTR]Cbad Cruiser,51.39414,22000,5001,27000
76561199024808939,Kernkob,51.43815,40000000,3002,6200
76561198052077385,[doge] schmxrg,51.59217,15001,1009,32001
76561198335037968,A2 Zecklord,51.7792,37004,5001,43000000
76561198030459761,[RTR]Istaysideway,51.8122,36000000,1008,2017
76561198290668879,[Soap] Socks242,52.16425,63000000,5001,57000000
76561199051019898,[heyo]potatotron,52.36228,38003,1006,5000
76561198416930050,[oops] Wombat!,52.41729,4001,3006,21005
76561198851912263,Lexer,52.5053,1014,3002,58000000
76561198008859132,[TOG]Lazy_Echidna,52.62632,26005,3004,22001
76561198974231691,agix,52.91236,27000,4004,23001
76561198067925412,AndMe16,53.04438,15000,3001,58000000
76561199144917715,FORT OFF,53.1764,15000,1008,23001
76561198111967925,lerollman,53.53945,11000000,1004,10000
76561198934033785,OgelGames,53.64947,3001,1005,2001
76561199173536675,[CTR]OwlPlague,54.05653,61000000,5000,68000000
76561198091849339,[HRR] Hi Im Yolo,54.21055,49000015,3002,56000000
