SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198851912263,Lexer,49.93474,1014,3002,58000000
76561198335037968,A2 Zecklord,50.38977,37004,5001,43000000
76561199024808939,Kernkob,50.52696,40000000,3002,6200
76561198416930050,[oops] Wombat!,50.5942,4001,3006,21005
76561198290668879,[Soap] Socks242,50.78304,63000000,5001,57000000
76561199173536675,[CTR]OwlPlague,50.92408,61000000,5000,68000000
76561198030459761,[RTR]Istaysideway,50.98409,36000000,1008,2017
76561198125000151,Irisdice,51.01565,31000000,3000,23010
76561198052077385,[doge] schmxrg,51.1059,15001,1009,32001
76561198008859132,[TOG]Lazy_Echidna,51.62003,26005,3004,22001
76561198161379363,[CTR]Cbad Cruiser,51.73355,22000,5001,27000
76561198934033785,OgelGames,51.80158,3001,1005,2001
76561198974231691,agix,51.83929,27000,4004,23001
76561199051019898,[heyo]potatotron,52.02394,38003,1006,5000
76561198067925412,AndMe16,52.21962,15000,3001,58000000
76561198314320065,DeeDeeNaNaNa,52.73872,49000002,4000,11000
76561198180572741,Chili,52.75468,1012,3006,30000
76561198158497194,[MM] mori_cinis,52.932,42000,1011,33001
