SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199027567424,Hydro,38.06526,40000000,3001,57000000
76561198106476018,[CTR]jandje,38.17287,61000000,3001,59000000
76561198851912263,Lexer,38.18526,1014,3002,58000000
76561198104372256,[ZST] Jakie,38.21932,61000000,5000,18000001
76561198030459761,[RTR]Istaysideway,38.53846,30001,1008,57000000
76561199230094250,[RTR]Fwogiie,38.58568,3009,1008,31005
76561198965056659,[ZST]zivecef,38.61781,40000000,5000,20002
76561198047403251,St Nicholas,38.66472,36000000,5001,71000000
76561198008859132,[TOG]Lazy_Echidna,38.78778,26005,3004,22001
76561198259463003,[CTR]R0nanC,38.84312,54000000,3000,10002
76561198932043314,[ZMS] Metalted,38.9014,1012,5001,29000
76561198359568548,Kodiak,38.96904,49000010,3003,66000000
76561198081686672,[GANS] Not That Guy,39.05193,3008,3004,58000000
76561198159073318,GuAlexItar,39.08971,32002,3001,22002
76561199242599801,[XTR]Hawk,39.11102,35006,1001,6004
76561199135775747,[WSHD] Renergy,39.14415,37004,3004,18000000
76561198974231691,agix,39.17831,27000,4004,23001
76561198027169155,DeiRex,39.19875,38001,3004,22000
76561198031919228,Akane,39.22084,55000001,3006,30000000
76561197980151170,Shadynook,39.22505,3001,1006,58000000
76561199138381808,Shadeely,39.33722,3009,3006,10002
76561198072912743,Lynhardt,39.57858,6000,1006,22004
76561199208124083,[TOB] rtyyyyb,39.58405,3006,1005,23000000
76561197989028539,Diabler,39.62508,1007,1001,22000
76561198003528539,Orange Sheets,39.71914,23000,1002,28000
76561198086671586,The Stig,39.78249,3005,1000,2021
76561198128535159,spooliboi,39.81675,49000001,2000,49000002
76561198314320065,DeeDeeNaNaNa,40.00272,49000002,4000,11000
76561197996376845,Arder,40.10787,3004,1003,2001
76561198048503797,AssassinLV,40.15557,38001,2002,6000
76561198870312435,[XTR] NATHAN,40.20493,3003,2000,14000000
76561199002720572,vortex,40.50295,3007,2002,7000
76561197961191126,alpa\,40.66026,15000,2002,5001
76561199278221929,icRS,40.80479,30001,1008,71000000
76561198076209946,maskeddog,42.08642,2003,1008,1002
76561198201688339,Δv,42.10789,6000,1000,1000
76561198019296258,Baconhands,43.31615,3001,1000,1000
76561199053544539,jjbassfisher,43.94132,13000,1002,14000000
76561198058469781,Lady Jenna of Korea,44.10489,33002,1008,21005
76561198175428545,Lunaria,51.79333,3000,1003,3000
