SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198106476018,[CTR]jandje,65.41494,61000000,3001,59000000
76561199230094250,[RTR]Fwogiie,66.17526,3009,1008,31005
76561198104372256,[ZST] Jakie,66.32581,61000000,5000,18000001
76561198030459761,[RTR]Istaysideway,66.33865,30001,1008,57000000
76561198047403251,St Nicholas,66.44167,36000000,5001,71000000
76561198851912263,Lexer,67.11169,1014,3002,58000000
76561198974231691,agix,67.12567,27000,4004,23001
76561198072912743,Lynhardt,67.20419,6000,1006,22004
76561199027567424,Hydro,67.33037,40000000,3001,57000000
76561198008859132,[TOG]Lazy_Echidna,67.42309,26005,3004,22001
76561198081686672,[GANS] Not That Guy,67.44711,3008,3004,58000000
76561198159073318,GuAlexItar,67.58998,32002,3001,22002
76561198965056659,[ZST]zivecef,67.7623,40000000,5000,20002
76561198259463003,[CTR]R0nanC,67.99613,54000000,3000,10002
76561199242599801,[XTR]Hawk,68.04133,35006,1001,6004
76561199135775747,[WSHD] Renergy,68.15031,37004,3004,18000000
76561198359568548,Kodiak,68.57138,49000010,3003,66000000
76561197996376845,Arder,68.59595,3004,1003,2001
76561198003528539,Orange Sheets,68.69044,23000,1002,28000
76561197980151170,Shadynook,68.83395,3001,1006,58000000
76561198314320065,DeeDeeNaNaNa,68.87508,49000002,4000,11000
76561198932043314,[ZMS] Metalted,69.08065,1012,5001,29000
76561198031919228,Akane,69.23111,55000001,3006,30000000
76561198027169155,DeiRex,69.29613,38001,3004,22000
76561198811535392,[ATB]reholmes92,69.71411,3001,2002,5000
76561199037373763,[The] Hate Hater,69.74249,12000000,2000,6000
76561197989028539,Diabler,69.93583,1007,1001,22000
76561199138381808,Shadeely,70.08866,3009,3006,10002
76561198048503797,AssassinLV,70.69846,38001,2002,6000
76561199002720572,vortex,71.39275,3007,2002,7000
76561198086671586,The Stig,71.40225,3005,1000,2021
76561198076411436,[ATH] Stony⁧⁧Baboon,71.69049,49000005,1002,13000
76561198870312435,[XTR] NATHAN,71.84274,3003,2000,14000000
76561198076209946,maskeddog,72.97992,2003,1008,1002
76561197961191126,alpa\,75.24561,15000,2002,5001
76561198334567850,FierceThundr_,83.81428,38001,2000,2001
76561198164126074,Its_Germany,85.22727,2000,1000,1000
76561199278221929,icRS,85.79307,30001,1008,71000000
