SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198104372256,[ZST] Jakie,42.4597,61000000,5000,18000001
76561199027567424,Hydro,42.61915,40000000,3001,57000000
76561199230094250,[RTR]Fwogiie,42.79317,3009,1008,31005
76561198106476018,[CTR]jandje,42.9838,61000000,3001,59000000
76561198047403251,St Nicholas,43.04343,36000000,5001,71000000
76561198081686672,[GANS] Not That Guy,43.09102,3008,3004,58000000
76561198851912263,Lexer,43.17626,1014,3002,58000000
76561198965056659,[ZST]zivecef,43.39545,40000000,5000,20002
76561198030459761,[RTR]Istaysideway,43.49103,30001,1008,57000000
76561199135775747,[WSHD] Renergy,43.7231,37004,3004,18000000
76561198027169155,DeiRex,43.78365,38001,3004,22000
76561199242599801,[XTR]Hawk,43.96778,35006,1001,6004
76561198359568548,Kodiak,43.98232,49000010,3003,66000000
76561198159073318,GuAlexItar,44.02119,32002,3001,22002
76561198008859132,[TOG]Lazy_Echidna,44.06714,26005,3004,22001
76561198072912743,Lynhardt,44.19733,6000,1006,22004
76561198974231691,agix,44.27224,27000,4004,23001
76561197980151170,Shadynook,44.43203,3001,1006,58000000
76561198259463003,[CTR]R0nanC,44.47142,54000000,3000,10002
76561199037373763,[The] Hate Hater,44.52981,12000000,2000,6000
76561198314320065,DeeDeeNaNaNa,44.72789,49000002,4000,11000
76561198003528539,Orange Sheets,44.80444,23000,1002,28000
76561198031919228,Akane,44.90967,55000001,3006,30000000
76561198086671586,The Stig,44.91204,3005,1000,2021
76561197989028539,Diabler,45.05438,1007,1001,22000
76561198932043314,[ZMS] Metalted,45.17223,1012,5001,29000
76561197996376845,Arder,45.4495,3004,1003,2001
76561199278221929,icRS,45.70528,30001,1008,71000000
76561199138381808,Shadeely,45.73107,3009,3006,10002
76561198870312435,[XTR] NATHAN,45.82787,3003,2000,14000000
76561199002720572,vortex,45.94659,3007,2002,7000
76561198053103666,EclairCat,46.50459,35006,1002,25000
76561198076411436,[ATH] Stony⁧⁧Baboon,46.53881,49000005,1002,13000
76561198048503797,AssassinLV,46.69305,38001,2002,6000
76561198046050227,BlackRainWillow,47.40113,42000,1011,30000
76561198243905720,Barbabooey,47.63739,23000,1000,28000
76561198076209946,maskeddog,48.10105,2003,1008,1002
76561198002032516,Zixhill,48.10466,8000,1008,8001
76561199274986394,[Mid] Athemediocre,48.61985,14000,2002,28000000
76561198811535392,[ATB]reholmes92,50.42105,3001,2002,5000
76561198334567850,FierceThundr_,51.33238,38001,2000,2001
76561198164126074,Its_Germany,57.12815,2000,1000,1000
76561197984731987,Max Myth,66.34869,1000,1000,1000
