SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199024808939,Kernkob,38.02997,40000000,3002,6200
76561199027567424,Hydro,38.3443,40000000,3001,57000000
76561198335037968,A2 Zecklord,38.4551,37004,5001,43000000
76561198052077385,[doge] schmxrg,38.56459,15001,1009,32001
76561198205579857,Linzi,38.7324,38000000,5002,71000000
76561198082304391,[CTR]TheBamboozler,38.82564,63000000,5000,58000000
76561199498272376,[ZST] Butter,38.85776,40000000,3002,27000000
76561199051019898,[heyo]Mr. Hubub,38.88591,38003,1006,5000
76561198285710168,dencar85,38.93782,22001,3003,32000
76561199173536675,[CTR]OwlPlague,39.20262,61000000,5000,68000000
76561198018907930,Prattable,39.84879,12000000,3003,27000
76561198934033785,OgelGames,39.96015,3001,1005,2001
76561198118195123,GandalfSyrup,40.69644,14000,1002,21005
76561198034266798,aaronred345,40.86894,15000,1005,10000
76561198164126074,Its_Germany,44.62018,2000,1000,1000
76561199465214065,milokittykat,44.86797,36004,1007,11001
76561197965415412,Henry The Bogard,45.5038,39000,1005,23000
76561199135565709,MisterJallen,45.8374,1000,1000,1000
