SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199024808939,Kernkob,42.9266,40000000,3002,6200
76561198052077385,[doge] schmxrg,43.05613,15001,1009,32001
76561199027567424,Hydro,43.49668,40000000,3001,57000000
76561198851912263,Lexer,43.50367,1014,3002,58000000
76561198205579857,Linzi,43.75213,38000000,5002,71000000
76561198019659175,Revenger_19,45.27059,1000,1000,1000
76561199051019898,[heyo]Mr. Hubub,46.29966,38003,1006,5000
76561198934033785,OgelGames,46.51137,3001,1005,2001
76561198082304391,[CTR]TheBamboozler,47.70885,63000000,5000,58000000
76561199173536675,[CTR]OwlPlague,48.04022,61000000,5000,68000000
76561198118195123,GandalfSyrup,50.06792,14000,1002,21005
76561198839953247,Roskgo,50.43812,6000,1000,10000000
76561198145132822,cgwheeler96,50.60515,35005,1005,6005
76561198072579283,[SBOI] BootyMcShooty88,54.0185,5000,4001,14000000
