SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198896246339,RoundNzt,43.898,44000,5001,59000000
76561198106476018,[CTR]jandje,44.182,61000000,3001,59000000
76561199230094250,[RTR]Fwogiie,44.385,3009,1008,31005
76561199027567424,Hydro,44.602,40000000,3001,57000000
76561198974231691,agix,44.734,27000,4004,23001
76561199135775747,[WSHD] Renergy,44.842,37004,3004,18000000
76561198081686672,[GANS] Not That Guy,44.853,3008,3004,58000000
76561198159073318,GuAlexItar,44.931,32002,3001,22002
76561198965056659,[ZST]zivecef,44.972,40000000,5000,20002
76561198030459761,[RTR]Istaysideway,44.987,30001,1008,57000000
76561198047403251,St Nicholas,45.156,36000000,5001,71000000
76561199242599801,[XTR]Hawk,45.178,35006,1001,6004
76561198072912743,Lynhardt,45.313,6000,1006,22004
76561198027169155,DeiRex,45.518,38001,3004,22000
76561199128560669,Graham The Guy,45.521,22002,3002,59000000
76561198008859132,[TOG]Lazy_Echidna,45.913,26005,3004,22001
76561198359568548,Kodiak,45.947,49000010,3003,66000000
76561198932043314,[ZMS] Metalted,46.299,1012,5001,29000
76561198259463003,[CTR]R0nanC,46.519,54000000,3000,10002
76561198314320065,DeeDeeNaNaNa,46.928,49000002,4000,11000
76561197989028539,Diabler,47.096,1007,1001,22000
76561199138381808,Shadeely,47.334,3009,3006,10002
76561197996376845,Arder,47.354,3004,1003,2001
76561198870312435,[XTR] NATHAN,47.635,3003,2000,14000000
76561198031919228,Akane,47.946,55000001,3006,30000000
76561197980151170,Shadynook,48.268,3001,1006,58000000
76561198048503797,AssassinLV,48.352,38001,2002,6000
76561198003528539,Orange Sheets,48.368,23000,1002,28000
76561199365626794,Spyder_0324,49.014,38001,2000,24000
76561197984621034,=XDC=Wolf,49.166,35000,1009,28000000
76561198076209946,maskeddog,49.399,2003,1008,1002
76561197998147919,miese_Katheter,48.608,5000,1000,1000
76561199120251455,littlepuppy814,49.658,4000,1000,5000
76561198051012565,seb,50.306,6000,1000,1000
76561198081582445,Penguinatic,50.781,11000000,1004,23000
76561198057263092,BluntDunner,55.535,5000,1000,1000
