SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199024808939,Kernkob,46.85471,40000000,3002,6200
76561199027567424,Hydro,47.0268,40000000,3001,57000000
76561198851912263,Lexer,47.62073,1014,3002,58000000
76561198052077385,[doge] schmxrg,47.63286,15001,1009,32001
76561198205579857,Linzi,47.73855,38000000,5002,71000000
76561198082304391,[CTR]TheBamboozler,47.85566,63000000,5000,58000000
76561198934033785,OgelGames,48.37228,3001,1005,2001
76561198019659175,Revenger_19,48.43379,1000,1000,1000
76561199173536675,[CTR]OwlPlague,48.4892,61000000,5000,68000000
76561198041911711,[SBOI] hi-hat,49.06568,3001,1000,4000
76561198072579283,[SBOI] BootyMcShooty88,49.20581,5000,4001,14000000
76561198093242864,[SBOI]Last,49.69081,5000,1006,4000
76561198145132822,cgwheeler96,51.15074,35005,1005,6005
76561198118195123,GandalfSyrup,51.72223,14000,1002,21005
76561198839953247,Roskgo,52.12244,6000,1000,10000000
76561198811535392,[ATB]reholmes92,52.90034,3001,2002,5000
76561198210051239,[KCRj]Gauss of Cards,57.34395,3001,1000,1000
