SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199126724675,[KUNG] ZOMAN,57.41957,10000000,3003,49000001
76561198314320065,DeeDeeNaNaNa,58.3018,49000002,4000,11000
76561198896246339,RoundNzt,58.36905,44000,5001,59000000
76561198078203272,Psycho No. 7,58.53759,3008,5000,57000000
76561198851912263,Lexer,58.60386,1014,3002,58000000
76561197965180640,Trapdoor,58.65259,16000000,2001,15000000
76561198149636594,[KURK] Quickracer10,59.01573,36000000,5001,23011
76561198047403251,St Nicholas,59.22594,36000000,5001,72000000
76561199144056798,ArmchairPolymath,59.28944,16000000,1001,23011
76561198008859132,[TOG]Lazy_Echidna,59.52211,26005,3004,22001
76561198027169155,DeiRex,59.52258,38001,3004,22000
76561197980151170,Shadynook,59.91119,3001,1006,58000000
76561197989028539,Diabler,59.98198,1007,1001,22000
76561198030459761,[RTR]Istaysideway,60.0223,30001,1008,57000000
76561198091849339,Hi Im Yolo,60.21507,49000015,3002,56000000
76561198000593151,Triton,60.76826,40000,3000,10001
76561197970830160,Cactushead,60.82605,38001,1004,2004
76561198932043314,[ZMS] Metalted,60.87186,1012,5001,29000
76561199180150756,GearworkDragon,61.00521,9000,1004,30003
76561198031919228,Akane,61.72643,41001,3006,30000000
76561197996376845,Arder,61.99102,3004,1003,2001
76561198003528539,Orange Sheets,61.99625,23000,1002,28000
76561198040113746,Richhyyyy,62.20156,5004,3001,14000
76561199037373763,[The] Hate Hater,62.27299,12000000,2000,6000
76561199046555647,bernhard,62.7399,3006,1003,2000
76561198168177697,lucas,63.02573,3001,1010,23000
76561198122894680,Waaksaam,63.53064,15000,2001,23011
76561198942875212,coldtwilightbeta,63.58283,1012,2000,25000000
76561198076209946,maskeddog,63.93711,2003,1008,1002
76561198373362263,ta56637,64.07645,1001,1000,1000
76561199498784376,CheetoMan,64.94881,5000,1001,21002
76561197962770255,Bommelom,69.00493,4000,4006,1000
76561197972506419,the_overlord,69.57155,9000,4006,2004
