SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199126724675,[KUNG] ZOMAN,39.15827,10000000,3003,49000001
76561198078203272,Psycho No. 7,39.22295,3008,5000,57000000
76561198851912263,Lexer,39.42664,1014,3002,58000000
76561198896246339,RoundNzt,39.46088,44000,5001,59000000
76561198030459761,[RTR]Istaysideway,39.68578,30001,1008,57000000
76561197980151170,Shadynook,39.77875,3001,1006,58000000
76561198027169155,DeiRex,40.1783,38001,3004,22000
76561197989028539,Diabler,40.18375,1007,1001,22000
76561198067016097,masterofpi11436,40.2473,11000000,1001,28000000
76561197969805328,[ZAGA]DBNULL,40.44459,16000000,2000,28000
76561198932043314,[ZMS] Metalted,40.87485,1012,5001,29000
76561198008859132,[TOG]Lazy_Echidna,41.03757,26005,3004,22001
76561199144056798,ArmchairPolymath,41.13154,16000000,1001,23011
76561197970830160,Cactushead,41.28285,38001,1004,2004
76561198091849339,Hi Im Yolo,41.30602,49000015,3002,56000000
76561198003528539,Orange Sheets,41.42482,23000,1002,28000
76561197996376845,Arder,41.51272,3004,1003,2001
76561199180150756,GearworkDragon,41.53949,9000,1004,30003
76561198149636594,[KURK] Quickracer10,41.85488,36000000,5001,23011
76561198171222118,b17bobby,41.88994,3003,1011,2004
76561199046555647,bernhard,42.279,3006,1003,2000
76561198314320065,DeeDeeNaNaNa,43.03959,49000002,4000,11000
76561198031919228,Akane,43.89259,41001,3006,30000000
76561198000593151,Triton,45.14518,40000,3000,10001
76561198076209946,maskeddog,47.60056,2003,1008,1002
76561198103582584,Luma,48.54746,13004,1008,2017
76561199227281305,marvelboi04,53.14013,10000000,2001,10000000
76561199102825928,[FaS] MonkeyGamer,62.90054,26000000,1002,24000000
