SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199024808939,Kernkob,38.32856,40000000,3002,6200
76561198081356099,[CTR] Sandals,38.5743,40000000,3006,69000000
76561198047403251,St Nicholas,38.70767,36000000,5001,72000000
76561198052077385,schmxrg,38.71137,15001,1009,32001
76561198335037968,A2 Zecklord,38.72312,37004,5001,43000000
76561198974231691,agix,38.77192,27000,4004,23001
76561198842622746,Beans,38.8005,5006,3004,29000
76561198072579283,[SBOI] BootyMcShooty88,39.01603,5000,4001,14000000
76561198934033785,OgelGames,39.34481,3001,1005,2001
76561198131756122,FINSTER83,39.66691,38003,1004,2004
76561199173536675,[CTR]OwlPlague,39.90022,61000000,5000,68000000
76561198144551155,Termite,40.2905,20000,1004,23012
76561198083545292,Bean,41.79003,45003,1008,23007
76561198824465660,joel,42.647,3001,1005,6004
