SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198081356099,[CTR] Sandals,54.98364,40000000,3006,69000000
76561198052077385,schmxrg,55.03088,15001,1009,32001
76561199027567424,Hydro,55.03741,40000000,3001,57000000
76561199024808939,Kernkob,55.11312,40000000,3002,6200
76561198335037968,A2 Zecklord,55.1166,37004,5001,43000000
76561198047403251,St Nicholas,55.2344,36000000,5001,72000000
76561198974231691,agix,56.17984,27000,4004,23001
76561198290668879,[Soap] Socks242,56.25671,63000000,5001,71000000
76561198072579283,[SBOI] BootyMcShooty88,56.49207,5000,4001,14000000
76561199173536675,[CTR]OwlPlague,56.60954,61000000,5000,68000000
76561198017668945,Striking Vyper,56.81905,38006,1004,58000000
76561198131756122,FINSTER83,57.33913,38003,1004,2004
76561199445295521,[DRFT] tws20so,57.83358,39003,5000,32001
76561198144551155,Termite,58.60216,20000,1004,23012
76561198083545292,Bean,59.10603,45003,1008,23007
76561198824465660,joel,60.30574,3001,1005,6004
