SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198335037968,A2 Zecklord,52.28855,37004,5001,43000000
76561198052077385,schmxrg,52.39693,15001,1009,32001
76561199024808939,Kernkob,52.43274,40000000,3002,6200
76561198081356099,[CTR] Sandals,52.48331,40000000,3006,69000000
76561198974231691,agix,52.57759,27000,4004,23001
76561199173536675,[CTR]OwlPlague,52.65244,61000000,5000,68000000
76561198047403251,St Nicholas,52.72565,36000000,5001,72000000
76561198017668945,Striking Vyper,52.75464,38006,1004,58000000
76561198384609805,Grumpy,53.01135,1008,3003,22001
76561198290668879,[Soap] Socks242,53.17286,63000000,5001,71000000
76561198072579283,[SBOI] BootyMcShooty88,53.22331,5000,4001,14000000
76561198808120140,GamerBear,53.48287,49000010,2001,49000002
76561199048457350,c0njah,53.90421,49000007,1000,49000002
76561198992476911,jrudy549,53.91946,35005,2000,30000000
76561198131756122,FINSTER83,54.11596,38003,1004,2004
76561199445295521,[DRFT] tws20so,54.28001,39003,5000,32001
76561198144551155,Termite,54.69069,20000,1004,23012
76561198177076471,Madmax77345,56.71527,3001,1005,2001
76561198824465660,joel,59.18428,3001,1005,6004
76561198093114636,Zekru,59.19674,38003,1004,12000
