SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199126724675,[oOOo] ZOMAN,31.35368,63000000,3000,56000000
76561198149636594,[John] Quickracer10,31.68929,38000000,5000,23002
76561198106476018,[CTR]jandje,31.71663,61000000,3001,59000000
76561198031919228,Akane,32.21281,41001,3006,30000000
76561198974231691,agix,32.24174,27000,4004,23001
76561198072185237,Nails,32.36628,28003,2000,14000
76561198008859132,[TOG]Lazy_Echidna,32.37455,26005,3004,22001
76561197980151170,Shadynook,32.47174,3001,1006,58000000
76561197989028539,Diabler,32.48228,1007,1001,22000
76561198091849339,[HRR] Hi Im Yolo,32.58237,49000015,3002,56000000
76561198027169155,DeiRex,32.65603,38001,3004,22000
76561198932043314,[ZMS] Metalted,32.78379,1012,5001,29000
76561198314320065,DeeDeeNaNaNa,32.82504,49000002,4000,11000
76561198003528539,Orange Sheets,32.91833,23000,1002,28000
76561197996376845,Arder,33.15417,3004,1003,2001
76561198838593572,invisiblecat8,33.29779,13005,1002,24005
76561199589394762,jofk2415,33.76857,35005,2002,23011
76561198727675143,jemvisser,34.05123,49000002,1002,49000002
76561198091994639,cookie,34.98487,5000,2002,10002
76561198076209946,maskeddog,35.3224,2003,1008,1002
