SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199027567424,Hydro,44.13803,61000000,3004,57000000
76561199024808939,Kernkob,44.33353,40000000,3002,6200
76561198851912263,Lexer,44.49894,1014,3002,34000000
76561198052077385,schmxrg,44.53738,15001,5002,23008
76561198082304391,[CTR]TheBamboozler,45.05349,63000000,5000,58000000
76561198047403251,St Nicholas,45.07139,36000000,5001,72000000
76561199173536675,[CTR]OwlPlague,45.36559,61000000,5000,68000000
76561198033794112,VLR Johinar,45.43507,43000,2000,24000000
76561198180909591,[WAM]Odist,45.72847,41001,3003,71000000
76561198000529645,YTButItRuns,48.67142,3001,1009,8000
76561198946416243,CrackerBarrel Gaming,48.91724,26004,2002,23011
76561199128492450,ITz_WillleeMan,49.39214,41000,1000,6000
76561198398956183,StupidGenericName,49.60261,3001,2000,21005
76561198075358740,Twitch | AlexLikesToons,50.02622,33002,1008,11001
76561198083545292,Bean,50.07597,45003,1008,23007
76561198144551155,Termite,50.14972,20000,1004,23012
76561199552996046,deejaygerman21,50.44519,1006,1000,23000
76561199472626759,[Qc] GuillaumePN,50.68478,3007,1006,6000
76561198177076471,Madmax77345,50.74914,3001,1005,2001
76561198824465660,joel,51.19607,3001,1005,6004
