SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199024808939,Kernkob,46.50791,40000000,3002,6200
76561199027567424,Hydro,46.71339,61000000,3004,57000000
76561198082304391,[CTR]TheBamboozler,46.97757,63000000,5000,58000000
76561198851912263,Lexer,47.0329,1014,3002,34000000
76561198047403251,St Nicholas,47.35326,36000000,5001,72000000
76561198180909591,[WAM]Odist,47.55001,41001,3003,71000000
76561198052077385,schmxrg,47.711,15001,5002,23008
76561199173536675,[CTR]OwlPlague,48.35001,61000000,5000,68000000
76561198934033785,OgelGames,48.37181,3001,1005,2001
76561199128492450,ITz_WillleeMan,48.53763,41000,1000,6000
76561198177076471,Madmax77345,49.61659,3001,1005,2001
76561198019079245,MOW BIG T,49.8112,42000000,1001,43000000
76561198144551155,Termite,50.5298,20000,1004,23012
76561199274942717,Rexxar,50.80801,38001,3004,14000
76561198000529645,YTButItRuns,51.30853,3001,1009,8000
76561198824465660,joel,52.13472,3001,1005,6004
76561198083545292,Bean,52.1367,45003,1008,23007
