SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199024808939,[CTR]Kernkob,36.51882,40000000,3002,6200
76561198081356099,[CTR] Sandals,36.67577,40000000,3006,69000000
76561198052077385,[6dog] schmxrg,36.76229,15001,5002,23008
76561199643465013,l3purple,36.7935,44000,3006,25000000
76561199051019898,[heyo]Mr. Hubub,37.2564,38003,1006,5000
76561198934033785,OgelGames,37.5564,3001,1005,2001
76561198091849339,Hi Im Yolo,37.9692,36000000,3002,56000000
76561198144551155,Termite,37.9809,20000,1004,23012
76561198210248213,CodeingerCat,38.02635,38001,3006,10000
76561198131756122,FINSTER83,38.10284,38003,1004,2004
76561198124868209,hermitwolf,38.25999,27001,1002,5000
76561197965640463,[CTR]L3it3R,38.45261,32000000,2001,29000000
76561198000529645,ButItRuns,38.45378,3001,1009,8000
76561197979592103,chubbs1280,39.37106,5005,1009,8001
76561198000602750,Innersloth,39.59576,8000,2000,6000
76561198075145491,Skellytor,40.73217,35005,3006,29000
76561198824465660,joel,40.9759,3001,1005,6004
