SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198072912743,Lynhardt,40.17458,6000,1006,22004
76561198896246339,RoundNzt,40.36311,44000,5001,59000000
76561199208124083,[ZET]rtyyyyb,40.37954,35003,4003,10001
76561198205579857,Linzi,40.4381,38000000,5002,32001
76561199498272376,Butter,40.48329,38000000,5000,23002
76561198003528539,Orange Sheets,40.49968,23000,1002,28000
76561199051019898,[heyo]Mr. Hubub,40.54079,38003,1006,5000
76561198027169155,DeiRex,40.5711,38001,3004,22000
76561198047403251,St Nicholas,40.59488,36000000,5001,72000000
76561198008859132,[TOG]Lazy_Echidna,40.60843,26005,3004,22001
76561198111674880,[ZET]a_random_tumbleweed,40.73613,32000,1007,31003
76561198259463003,R0nanC,40.75875,54000000,3000,10002
76561198974231691,agix,40.84924,27000,4004,23001
76561197980151170,Shadynook,40.92235,36000000,1006,71000000
76561198031919228,Akane,41.05732,41001,3006,30000000
76561197996376845,Arder,41.2566,49000006,1002,2001
76561198314320065,DeeDeeNaNaNa,41.36774,49000002,4000,11000
76561198932043314,[ZMS] Metalted,41.42183,13000,5001,23008
76561198015736943,Drunkshinobi,41.43116,6004,3004,20004
76561199385416696,Agnostos,41.57179,3001,1009,1000
76561199150086335,[ZET]toast,41.62257,37004,1003,10001
76561198838593572,invisiblecat8,41.97513,13005,1002,24005
76561198076209946,maskeddog,42.13324,2003,1008,1002
76561197989028539,Diabler,45.45336,1007,1001,22000
