SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199126724675,ZOMAN,40.44593,35000,3001,6000
76561199208124083,[ZET]rtyyyyb,41.09706,35003,4003,10001
76561198896246339,RoundNzt,41.14918,44000,5001,59000000
76561198205579857,Linzi,41.21518,38000000,5002,32001
76561198072912743,Lynhardt,41.24353,6000,1006,22004
76561197980151170,Shadynook,41.27283,36000000,1006,71000000
76561198259463003,R0nanC,41.27369,54000000,3000,10002
76561198047403251,St Nicholas,41.2745,36000000,5001,72000000
76561199051019898,[heyo]Mr. Hubub,41.28465,38003,1006,5000
76561198974231691,agix,41.378,27000,4004,23001
76561198027169155,DeiRex,41.39982,38001,3004,22000
76561198932043314,[ZMS] Metalted,41.43406,13000,5001,23008
76561198988960546,F1Y1NGDUTCHM8N,41.64537,3000,1006,25000000
76561198111674880,[ZET]a_random_tumbleweed,41.75973,32000,1007,31003
76561198008859132,[TOG]Lazy_Echidna,41.79298,26005,3004,22001
76561198015736943,Drunkshinobi,41.79846,6004,3004,20004
76561199242599801,[XTR]Hawk,41.94623,3005,3004,43000000
76561198314320065,DeeDeeNaNaNa,41.95842,49000002,4000,11000
76561198342766986,Javito_009,42.09521,1008,1003,2024
76561198846673916,Matic_D,42.17414,26005,2002,22002
76561198003528539,Orange Sheets,42.29795,23000,1002,28000
76561198031919228,Akane,42.48289,41001,3006,30000000
76561198838593572,invisiblecat8,42.51118,13005,1002,24005
76561197970830160,Cactushead,42.59666,38001,1004,2004
76561198117035460,TwoFace,42.72245,22003,3004,65000000
76561197996376845,Arder,42.93805,49000006,1002,2001
76561199150086335,[ZET]toast,43.11233,37004,1003,10001
76561197989028539,Diabler,43.17119,1007,1001,22000
76561198076209946,maskeddog,43.28457,2003,1008,1002
76561198333205852,Jappiedoedelzak,44.15216,26000000,1003,27000000
