SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198052077385,[dogg] schmxrg,44.10835,15001,5002,32001
76561199024808939,[CTR]Kernkob,44.37238,40000000,3002,6200
76561198851912263,Lexer,44.53244,1014,3002,58000000
76561197965640463,[CTR] L3it3R,44.78687,32000000,2001,29000000
76561198082304391,[CTR]TheBamboozler,45.03297,63000000,5000,58000000
76561199173536675,[CTR]OwlPlague,45.25262,61000000,5000,68000000
76561199120251455,littlepuppy814,45.95251,4000,1000,5000
76561198144551155,Termite,47.4974,20000,1004,23012
76561198131756122,FINSTER83,47.97409,38003,1004,2004
76561198162390631,[CLWN]DocRee,50.55946,49000008,1010,6502
