SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198052077385,[dogg] schmxrg,42.88081,15001,5002,32001
76561199024808939,[CTR]Kernkob,43.00667,40000000,3002,6200
76561198082304391,[CTR]TheBamboozler,43.38998,63000000,5000,58000000
76561198851912263,Lexer,43.44069,1014,3002,58000000
76561197965640463,[CTR] L3it3R,44.05332,32000000,2001,29000000
76561199173536675,[CTR]OwlPlague,44.0769,61000000,5000,68000000
76561198131756122,FINSTER83,44.56322,38003,1004,2004
76561199120251455,littlepuppy814,45.57956,4000,1000,5000
76561198144551155,Termite,45.7229,20000,1004,23012
76561198830111144,Zypher_Cat,46.07921,3005,1000,2019
76561198041670380,W351D3,46.62701,15000,4007,23011
76561198162390631,[CLWN]DocRee,51.21172,49000008,1010,6502
