SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199024808939,[CTR]Kernkob,47.85878,40000000,3002,6200
76561198052077385,[dogg] schmxrg,47.97534,15001,5002,32001
76561198851912263,Lexer,48.16691,1014,3002,58000000
76561198416930050,[oops] Wombat!,48.53691,38000000,3006,31003
76561199027567424,[CTR]Hydro,48.64337,61000000,3001,57000000
76561198081356099,[CTR] Sandals,48.66555,40000000,3006,69000000
76561198008859132,[TOG]Lazy_Echidna,48.82197,26005,3004,22001
76561198161379363,[CTR]Cbad Cruiser,48.83443,22000,5001,18000000
76561199051019898,[heyo]Mr. Hubub,49.14883,38003,1006,5000
76561199144056798,ArmchairPolymath,49.36639,35002,3005,23011
76561198314320065,DeeDeeNaNaNa,50.17654,49000002,4000,11000
76561199150086335,[ZET]toast,51.45013,37004,3001,10001
76561198144551155,Termite,51.87839,20000,1004,23012
76561197963702040,[RB]Chinpokomon,52.05574,37004,4003,13000
76561198083545292,Bean,52.77559,45003,1008,23007
76561198824465660,joel,54.96806,3001,1005,6004
