SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198050792757,justMaki,62.32979,38000000,3006,23002
76561199230094250,[RTR]Fwogiie,62.67816,3005,3003,56000000
76561198106476018,[CTR]jandje,62.86081,61000000,3001,59000000
76561198125435428,JobW,63.04748,36000000,3000,8001
76561197996872205,Erko,63.49921,1001,3004,6004
76561198851912263,Lexer,63.52435,1014,3002,58000000
76561198047403251,St Nicholas,63.97725,36000000,5001,72000000
76561198974231691,agix,64.0604,27000,4004,23001
76561198896246339,RoundNzt,64.222,44000,5001,59000000
76561197999431502,[HRR] readfreak7,64.34189,3001,1000,6004
76561197980151170,Shadynook,64.42773,36000000,1006,71000000
76561199217544926,dirtyboy58,64.64973,22002,3002,5003
76561198091849339,Hi Im Yolo,64.70218,36000000,3002,56000000
76561197989028539,Diabler,64.75382,1007,1001,22000
76561197996376845,Arder,64.80765,49000006,1002,2001
76561198027169155,DeiRex,64.8221,38001,3004,22000
76561198067925412,AndMe16,65.06455,15000,3001,58000000
76561198031919228,Akane,65.39175,41001,3006,30000000
76561198003528539,Orange Sheets,65.67846,23000,1002,28000
76561198846673916,Matic_D,65.72483,26005,2002,22002
76561198402005981,jtc3161,65.72594,2000,1005,2002
76561198983425377,Chupa Cu de Goianinha,65.75304,16000000,1001,14000000
76561198048503797,AssassinLV,66.11209,38001,2002,6000
76561198428660617,BB_Benji,66.19116,13005,1005,24005
76561198932043314,[ZMS] Metalted,66.35239,13005,5001,58000000
76561198109881901,Kabs666,66.40146,30001,1001,33000
76561199155296520,neno,67.37099,3007,1003,22004
76561198076209946,maskeddog,69.08752,2003,1008,1002
76561199287869908,Ionjig,69.62682,49000017,3004,49000002
76561198930276105,Shark_boi,70.12592,35002,1010,32001
76561199066573688,Erik,70.42116,2000,1004,13000000
76561199597895562,andy,71.04653,2000,1000,1000
76561199282497311,groovy,90.4085,1014,1001,23011
