SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198050792757,justMaki,41.59314,38000000,3006,23002
76561199230094250,[RTR]Fwogiie,41.69924,3005,3003,56000000
76561198851912263,Lexer,42.11335,1014,3002,58000000
76561198106476018,[CTR]jandje,42.24078,61000000,3001,59000000
76561198047403251,St Nicholas,42.43169,36000000,5001,72000000
76561198125435428,JobW,42.49949,36000000,3000,8001
76561197996872205,Erko,42.55092,1001,3004,6004
76561198896246339,RoundNzt,42.64183,44000,5001,59000000
76561198027169155,DeiRex,42.71192,38001,3004,22000
76561197999431502,[HRR] readfreak7,42.83052,3001,1000,6004
76561198988960546,F1Y1NGDUTCHM8N,42.94159,3000,1006,25000000
76561197980151170,Shadynook,42.94725,36000000,1006,71000000
76561198974231691,agix,43.00337,27000,4004,23001
76561198067925412,AndMe16,43.51987,15000,3001,58000000
76561198846673916,Matic_D,43.72244,26005,2002,22002
76561198003528539,Orange Sheets,44.04338,23000,1002,28000
76561197996376845,Arder,44.22246,49000006,1002,2001
76561198109881901,Kabs666,44.32417,30001,1001,33000
76561198031919228,Akane,44.35494,41001,3006,30000000
76561198428660617,BB_Benji,44.42595,13005,1005,24005
76561199217544926,dirtyboy58,44.43938,22002,3002,5003
76561198402005981,jtc3161,44.62006,2000,1005,2002
76561198091849339,Hi Im Yolo,44.66544,36000000,3002,56000000
76561198983425377,Chupa Cu de Goianinha,44.76187,16000000,1001,14000000
76561197989028539,Diabler,44.76342,1007,1001,22000
76561198932043314,[ZMS] Metalted,44.92095,13005,5001,58000000
76561198072562380,Jurst,45.72043,3007,3001,5100
76561198048503797,AssassinLV,46.41269,38001,2002,6000
76561199287869908,Ionjig,47.64153,49000017,3004,49000002
76561199066573688,Erik,48.35307,2000,1004,13000000
76561198076209946,maskeddog,49.40555,2003,1008,1002
76561199597895562,andy,53.00917,2000,1000,1000
76561199282497311,groovy,60.92045,1014,1001,23011
