SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199230094250,[RTR]Fwogiie,24.91076,3005,3003,56000000
76561199208124083,[Fren] rtyyyyb,24.9361,3000,3001,2015
76561198047403251,St Nicholas,25.00671,36000000,5001,72000000
76561198001387193,[CHR]Warcans,25.04346,36000000,4004,27000000
76561197996872205,Erko,25.06074,1001,3004,6004
76561198259463003,R0nanC,25.08685,54000000,3000,10002
76561198314320065,DeeDeeNaNaNa,25.19913,49000002,4000,11000
76561198027169155,DeiRex,25.26806,38001,3004,22000
76561198974231691,agix,25.27369,27000,4004,23001
76561197980151170,Shadynook,25.28813,36000000,1006,71000000
76561198031919228,Akane,25.36573,41001,3006,30000000
76561197996376845,Arder,25.38751,49000006,1002,2001
76561198067512485,Ben Dover Kenobi,25.46621,42000,2001,24000000
76561198932043314,[ZMS] Metalted,25.47684,37004,5001,29000
76561198003528539,Orange Sheets,25.53058,23000,1002,28000
76561198988960546,F1Y1NGDUTCHM8N,25.58752,3000,1006,25000000
76561197970830160,Cactushead,25.59273,38001,1004,2004
76561199101994275,VroomVroomer,25.59582,13000,2000,2002
76561198383168783,[BROT] Vrikka,25.68757,26002,1007,24004
76561198059495025,mr.Jelle-Beat,25.70367,12000000,2002,23000000
76561199210216294,spaps,25.80836,13003,1005,21002
76561199218214543,[ZET] Wheelie,25.86095,36000000,1005,32001
76561199013490365,JFK,25.99313,49000001,2000,29000000
76561198096387242,VIKING PEPE,26.02663,3005,1011,24000
76561198992476911,Cheesy Cheeses,26.10868,45000,1001,31004
76561198076209946,maskeddog,26.63921,2003,1008,1002
76561198272149572,Mr. Cranky,27.31368,1007,1007,25000000
76561198162390631,[CLWN]DocRee,27.48167,49000008,1010,6502
76561198126370450,hoseppan,27.65542,1002,4003,49000001
76561199249238547,QuickSinger21,27.81717,1000,1000,1000
76561199651799021,balogan75,29.0018,33002,1007,23010
