SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198161379363,[CTR]Cbad Cruiser,26.59502,22000,5001,18000000
76561198021974488,[CTR] NathWalt,26.62702,6001,3000,14001
76561198851912263,Lexer,26.63932,1014,3002,58000000
76561199173536675,[CTR]OwlPlague,26.67377,61000000,5000,68000000
76561198205579857,Linzi,26.68861,38000000,5002,32001
76561199024808939,[CTR]Kernkob,26.69196,40000000,3002,6200
76561198871908504,[Poop]Sheriff,26.73521,36000000,4006,19001
76561198082304391,[CTR]TheBamboozler,26.7423,63000000,5000,71000000
76561198052077385,[TIGR] schmxrg,26.81461,15001,1006,28000000
76561199005549942,3rdseyeview,26.85798,42000000,1006,20003
76561197989028539,Diabler,26.86833,1007,1001,22000
76561199128492450,ITz_WillleeMan,26.91147,41000,1000,6000
76561198047403251,St Nicholas,27.12245,36000000,5001,72000000
76561198131756122,FINSTER83,27.17013,38003,1004,2004
76561198038465034,Rekkaba,27.70262,39003,1006,23001
76561198098164438,BirdManK3v,27.77659,1100,3000,24003
76561198166356802,[BKD] Beans,27.90536,12000000,1002,5000
76561198144551155,Termite,28.07985,20000,1004,23012
