SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199230094250,[RTR]Fwogiie,23.62437,3005,3003,56000000
76561198001387193,[CHR]Warcans,24.04693,36000000,4004,27000000
76561197996872205,Erko,24.39458,1001,3004,6004
76561197980151170,Shadynook,24.51056,36000000,1006,71000000
76561198027169155,DeiRex,24.53757,38001,3004,22000
76561198974231691,agix,24.61193,27000,4004,23001
76561198314320065,DeeDeeNaNaNa,24.75255,49000002,4000,11000
76561197965180640,Trapdoor,24.99175,16000000,2001,15000000
76561198003528539,Orange Sheets,24.99956,23000,1002,28000
76561198383168783,[BROT] Vrikka,25.09774,26002,1007,24004
76561198031919228,Akane,25.10746,41001,3006,30000000
76561198932043314,[ZMS] Metalted,25.12055,37004,5001,29000
76561197970830160,Cactushead,25.17555,38001,1004,2004
76561197996376845,Arder,25.33553,49000006,1002,2001
76561198988960546,F1Y1NGDUTCHM8N,25.39314,3000,1006,25000000
76561198029193223,b0baphettyWAP,25.62246,38003,1002,9000
76561199210216294,spaps,25.73892,13003,1005,21002
76561199218214543,[ZET] Wheelie,25.78274,36000000,1005,32001
76561198992476911,Cheesy Cheeses,25.90186,45000,1001,31004
76561197997866088,Pilaf,26.02955,12000000,1008,30000
76561198076209946,maskeddog,26.33468,2003,1008,1002
76561198032058898,Hippolyte,26.43543,26003,5000,19000
76561198162390631,[CLWN]DocRee,26.88699,49000008,1010,6502
76561199651799021,balogan75,27.94222,33002,1007,23010
