SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199230094250,[RTR]Fwogiie,29.07244,3005,3003,56000000
76561198001387193,[CHR]Warcans,29.31586,36000000,4004,27000000
76561197965180640,Trapdoor,29.35719,16000000,2001,15000000
76561197996872205,Erko,29.4293,1001,3004,6004
76561198027169155,DeiRex,29.49133,38001,3004,22000
76561198031919228,Akane,29.49142,41001,3006,30000000
76561197980151170,Shadynook,29.50997,36000000,1006,71000000
76561198383168783,[BROT] Vrikka,29.56154,26002,1007,24004
76561197996376845,Arder,29.64322,49000006,1002,2001
76561198974231691,agix,29.66413,27000,4004,23001
76561198314320065,DeeDeeNaNaNa,29.8083,49000002,4000,11000
76561197970830160,Cactushead,29.89657,38001,1004,2004
76561198932043314,[ZMS] Metalted,30.11082,37004,5001,29000
76561198032058898,Hippolyte,30.20463,26003,5000,19000
76561198029193223,b0baphettyWAP,30.3413,38003,1002,9000
76561198317089945,ThePetersson,30.35801,1014,1001,2003
76561199210216294,spaps,30.3998,13003,1005,21002
76561198211255129,Tankxander,30.42878,35005,1000,6300
76561198003528539,Orange Sheets,30.47108,23000,1002,28000
76561197997866088,Pilaf,30.96483,12000000,1008,30000
76561198076209946,maskeddog,31.21634,2003,1008,1002
76561198992476911,Cheesy Cheeses,32.18517,45000,1001,31004
76561198162390631,[CLWN]DocRee,33.20349,49000008,1010,6502
76561199651799021,balogan75,39.08583,33002,1007,23010
