SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199230094250,[RTR]Fwogiie,26.35243,3005,3003,56000000
76561198974231691,agix,26.62029,27000,4004,23001
76561197996872205,Erko,26.68117,1001,3004,6004
76561198001387193,[CHR]Warcans,26.85756,36000000,4004,27000000
76561198027169155,DeiRex,26.92693,38001,3004,22000
76561197980151170,Shadynook,27.29298,36000000,1006,71000000
76561198932043314,[ZMS] Metalted,27.58294,37004,5001,29000
76561199053404858,Roader,27.59851,15000,2002,6005
76561198314320065,DeeDeeNaNaNa,27.77835,49000002,4000,11000
76561197996376845,Arder,28.01666,49000006,1002,2001
76561197970830160,Cactushead,28.12675,38001,1004,2004
76561198003528539,Orange Sheets,28.19357,23000,1002,28000
76561198031919228,Akane,28.31169,41001,3006,30000000
76561198383168783,[BROT] Vrikka,28.54632,26002,1007,24004
76561198155560837,flwr,28.64066,37005,1010,24004
76561198032058898,Hippolyte,28.70528,26003,5000,19000
76561198029193223,b0baphettyWAP,28.7186,38003,1002,9000
76561198076209946,maskeddog,28.94924,2003,1008,1002
76561199210216294,spaps,28.95906,13003,1005,21002
76561198992476911,Cheesy Cheeses,29.7551,45000,1001,31004
76561198803482961,SpicyMango,29.83388,3001,1000,6003
76561198162390631,[CLWN]DocRee,31.48899,49000008,1010,6502
76561199651799021,balogan75,32.66349,33002,1007,23010
76561199232372274,profileNamesAreBoring,33.85294,4003,1005,14001
