SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198050792757,justMaki,26.34917,38000000,3006,23002
76561199024808939,[CTR]Kernkob,26.36563,40000000,3002,6200
76561198161379363,[CTR]Cbad Cruiser,26.49489,22000,5001,18000000
76561198052077385,[TIGR] schmxrg,26.54882,15001,1006,28000000
76561198205579857,Linzi,26.62563,38000000,5002,32001
76561198851912263,Lexer,26.63341,1014,3002,58000000
76561199173536675,[CTR]OwlPlague,26.79722,61000000,5000,68000000
76561198111967925,lerollman,26.80368,11000000,1004,10000
76561198021974488,[CTR] NathWalt,26.83656,6001,3000,14001
76561199144056798,ArmchairPolymath,26.8468,35001,3005,23011
76561198082304391,[CTR]TheBamboozler,26.88681,63000000,5000,71000000
76561198047403251,St Nicholas,26.89962,36000000,5001,72000000
76561198871908504,[Poop]Sheriff,26.9263,36000000,4006,19001
76561197989028539,Diabler,27.33934,1007,1001,22000
76561198399646923,yamcakes,27.52357,13000,2000,2027
76561198131756122,FINSTER83,27.64447,38003,1004,2004
76561198144551155,Termite,27.84356,20000,1004,23012
76561199128492450,ITz_WillleeMan,28.02876,41000,1000,6000
76561199196339657,hanksterphill,28.42902,49000005,2002,6000
76561199562980597,Mach8_2000,28.5616,11000000,1011,15002
76561198098164438,BirdManK3v,28.59958,1100,3000,24003
76561198166356802,[BKD] Beans,28.65004,12000000,1002,5000
76561199215255591,MrSlouch,30.06564,12000,1003,22006
