SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199024808939,[CTR]Kernkob,29.02436,40000000,3002,6200
76561198851912263,Lexer,29.175,1014,3002,58000000
76561198111967925,lerollman,29.276,11000000,1004,10000
76561198161379363,[CTR]Cbad Cruiser,29.27933,22000,5001,18000000
76561198021974488,[CTR] NathWalt,29.31002,6001,3000,14001
76561198205579857,Linzi,29.3214,38000000,5002,32001
76561198047403251,St Nicholas,29.4443,36000000,5001,72000000
76561198082304391,[CTR]TheBamboozler,29.47836,63000000,5000,71000000
76561198052077385,[TIGR] schmxrg,29.5161,15001,1006,28000000
76561199173536675,[CTR]OwlPlague,29.51981,61000000,5000,68000000
76561199144056798,ArmchairPolymath,29.53352,35001,3005,23011
76561198131756122,FINSTER83,29.54651,38003,1004,2004
76561198009871053,iforgotwho,29.60398,22001,1001,11000
76561198871908504,[Poop]Sheriff,29.6347,36000000,4006,19001
76561198983616650,Superstition,29.64865,43000,2002,25000
76561197989028539,Diabler,29.79811,1007,1001,22000
76561198166356802,[BKD] Beans,30.41695,12000000,1002,5000
76561198144551155,Termite,30.47927,20000,1004,23012
76561198098164438,BirdManK3v,30.77229,1100,3000,24003
