SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198050792757,justMaki,36.71109,38000000,3006,56000000
76561199230094250,Naomi,37.20818,3005,1000,70000000
76561198974231691,agix,37.50383,27000,4004,23001
76561198159073318,[CTR]GuAlexItar,37.64034,32002,3001,60000000
76561197989028539,Diabler,37.68511,1007,1001,22000
76561198259463003,R0nanC,37.92119,54000000,3000,10002
76561198047403251,St Nicholas,37.92168,36000000,5001,72000000
76561198851912263,Lexer,38.06905,1014,3002,58000000
76561198149636594,[KURK] Quickracer10,38.17516,40000000,3004,39000000
76561199037373763,[ZET] Hate Hater,38.27456,3001,1000,23000000
76561198001387193,[CHR]Warsnac,38.44,36000000,4004,27000000
76561198027169155,DeiRex,38.50503,38001,3004,22000
76561198131756122,FINSTER83,38.55542,38003,1004,2004
76561198932043314,[ZMS] Metalted,38.58987,1008,5001,10000
76561198008859132,[TOG]Lazy_Echidna,38.73809,41000,3004,22001
76561197996376845,Arder,38.76623,49000006,1002,2001
76561198314320065,DeeDeeNaNaNa,39.04266,49000002,4000,11000
76561198111674880,[ZET] a_random_tumbleweed,39.05431,32000,1007,31003
76561198082960657,FlamingSquid,39.36188,38000,1005,11000
76561199150086335,[ZET]toast,40.11365,22002,5000,10002
76561199287869908,Ionjig,40.33499,49000017,5001,72000000
76561198047453909,Neb,40.58722,15000,1004,5000
76561199101994275,VroomVroomer,40.95742,13000,2000,2002
76561198003528539,Orange Sheets,41.55836,23000,1002,28000
76561198031919228,Akane,41.82571,41001,3006,30000000
76561199388042728,BlueHeal,42.08226,38001,1005,5002
76561198076209946,maskeddog,42.3395,2003,1008,1002
76561197992255092,sf.is.a.bbt,42.46146,19000000,4007,29000000
76561198046077557,maxie12,43.98663,23000,1006,23000000
76561197972506419,the_overlord,44.09813,9000,4006,2004
76561198106229662,wolfcraft,44.32817,49000010,2002,49000005
76561199232372274,profileNamesAreBoring,47.37439,25000,1004,2008
