SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198052077385,[dog] schmxrg,35.885,15001,5000,23005
76561199024808939,[CTR]Kernkob,36.23341,40000000,3002,6200
76561198047403251,St Nicholas,36.32128,36000000,5001,72000000
76561199173536675,[CTR]OwlPlague,36.34812,63000000,5000,68000000
76561198988960546,F1Y1NGDUTCHM8N,36.45224,3000,1006,25000000
76561198067016097,masterofpi11436,37.17726,11000000,1001,28000000
76561198363343888,DIVINITY,37.66573,49000001,4000,49000002
76561198847191844,Meowbee,37.91276,26002,1006,2009
76561199091943781,Thunder lightning,37.98464,49000003,1005,11001
76561198144551155,Termite,38.11048,20000,1004,23012
76561198811535392,[ATB]reholmes92,38.11485,33000000,2001,71000000
76561198037649622,Hairybroness,38.15268,26004,2001,22006
76561198130056087,Amystika,38.74379,43000,3004,30003
76561198035417931,sobeisgood,38.99914,12000000,1001,22000
76561199057714344,Sir Alien,40.0071,35005,1004,29000
76561198063036391,tsubodai,40.02901,1004,1011,10000000
76561198037453926,whoopy4,40.59787,8000,1004,23000
76561198388124984,[MR] Joe Biden,40.60662,8000,4004,3000
76561198396018104,Graver,41.18207,3002,1000,2008
76561198124910146,[tyhy]Logan,42.08557,38001,1002,2006
76561198282533709,Bones,42.16142,26004,1008,23001
76561198083880616,mcclure1982,44.33735,1001,1000,1000
