SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199024808939,[CTR]Kernkob,42.73355,40000000,3002,6200
76561198047403251,St Nicholas,42.74234,36000000,5001,72000000
76561198052077385,[dog] schmxrg,42.86806,15001,5000,23005
76561199173536675,[CTR]OwlPlague,44.49161,63000000,5000,68000000
76561198067016097,masterofpi11436,45.40995,11000000,1001,28000000
76561198847191844,Meowbee,46.68895,26002,1006,2009
76561198130056087,Amystika,47.698,43000,3004,30003
76561198144551155,Termite,48.77478,20000,1004,23012
76561198324263946,HB N3WT,49.90205,12000000,1000,22000
76561198811535392,[ATB]reholmes92,50.46122,33000000,2001,71000000
76561198063036391,tsubodai,51.55144,1004,1011,10000000
76561198282533709,Bones,53.80458,26004,1008,23001
76561199150576215,Loki_TheKing'sGod,71.90578,3003,1006,2004
