SteamId,Username,Time
76561198050792757,justMaki,56.10634
76561199208124083,[TBD] rtyyyyb,57.26499
76561198851912263,Lexer,57.37302
76561198932043314,[ZMS] Metalted,57.63256
76561198076209946,maskeddog,59.20503
76561198047403251,St Nicholas,59.30417
76561198974231691,agix,59.31696
76561197980151170,Shadynook,59.82631
76561197989028539,Diabler,60.02601
76561199187327002,[TG]Tommygaming5132,60.23489
76561198145132822,cgwheeler96,60.784
76561198031919228,Akane,61.40638
76561198122894680,Waaksaam,61.54225
76561198378599589,BitPolygon,61.6436
76561197996376845,Arder,62.05428
76561198430273427,Redstonecraft99,63.06508
76561198091994639,cookie,63.17254
76561198044604220,SQU4DDL3R,64.89812
76561199451784506,masterpig9134,68.29947
76561198845015947,Wainsplinth,68.72107
