SteamId,Username,Time
76561198081356099,[CTR] Sandals,39.2847
76561198052077385,schmxrg,39.48275
76561198050792757,justMaki,39.77466
76561198335037968,A2 Zecklord,40.20809
76561198047403251,St Nicholas,40.31383
76561198253679880,PandaMane,40.57835
76561198438442547,palfly,40.83126
76561198428660617,BB_Benji,41.24661
76561198934033785,OgelGames,41.3319
76561199016107155,ParagonJake20,41.85593
76561198865432343,[lazy]MackCheesy,42.33169
76561198144551155,Termite,42.81508
76561198946320582,Nyancatya,43.13319
76561198841035992,[DRI]Jaydark,44.64403
76561199580968075,pian0man88,45.78163
76561199097193826,DarkKnight,45.92576
