SteamId,Username,Time
76561199126724675,ZOMAN,43.2251
76561198896246339,RoundNzt,43.52221
76561198047403251,St Nicholas,43.72962
76561198149636594,[KURK] Quickracer10,43.77299
76561198974231691,agix,44.27216
76561197989028539,Diabler,45.01885
76561199187327002,Tommygaming5132,45.76031
76561198865432343,[ZET]MackCheesy,46.45473
76561197980151170,Shadynook,46.83974
76561198932043314,[ZMS] Metalted,47.91977
76561198378599589,BitPolygon,48.48936
76561199218214543,[ZET] Wheelie,48.65792
76561199135775747,[TBD] Renergy,48.78542
76561198946320582,Nyancatya,49.67516
76561198076209946,maskeddog,50.65442
76561198344654462,King Draconic,52.18185
76561197963702040,[RB]Chinpokomon,53.27967
76561198031919228,Akane,53.56018
76561197996376845,Arder,54.0672
76561199107143256,brak2mel,57.35566
