SteamId,Username,Time
76561199024808939,[CTR]Kernkob,65.03632
76561198047403251,St Nicholas,65.53108
76561198052077385,schmxrg,65.83469
76561198253679880,PandaMane,65.8978
76561198851912263,Lexer,66.23466
76561198335037968,A2 Zecklord,66.62892
76561198314320065,DeeDeeNaNaNa,67.01565
76561198428660617,BB_Benji,67.30647
76561198934033785,OgelGames,69.32635
76561198330834751,outcast,69.51472
76561199162337102,ZTR177,70.23911
76561198144551155,Termite,70.66136
76561198111674880,a_random_tumbleweed,72.14159
76561199030452322,monstermud69,73.3015
76561197986239475,Garfath,74.93581
76561198283550352,DoombyDeath88,75.16101
76561198862146127,wf-fang0,79.79424
76561197998956817,ffmm,82.79954
76561198042279786,Cinple,85.9906
