SteamId,Username,Time
76561198851912263,Lexer,34.63752
76561198052077385,schmxrg,34.82652
76561199024808939,[CTR]Kernkob,34.9636
76561198253679880,PandaMane,35.24833
76561198934033785,OgelGames,35.32177
76561198314320065,DeeDeeNaNaNa,35.56258
76561198428660617,BB_Benji,35.88969
76561198091849339,Hi Im Yolo,35.93614
76561198335037968,A2 Zecklord,36.11073
76561198047403251,St Nicholas,36.51936
76561198144551155,Termite,38.90684
76561197986239475,Garfath,39.33944
76561198042279786,Cinple,39.55025
76561198106276693,PFiRSE,39.95436
76561198111674880,a_random_tumbleweed,40.60926
76561198283550352,DoombyDeath88,42.25763
76561198055479390,Gigabyte_2065,42.51761
76561197998956817,ffmm,44.46129
