SteamId,Username,Time
76561198149636594,[KURK] Quickracer10,55.13837
76561199126724675,ZOMAN,55.19821
76561198253679880,[FPV]PandaMane,55.7326
76561198205579857,Linzi,55.80554
76561198896246339,RoundNzt,56.09819
76561199208124083,[TBD] rtyyyyb,56.60069
76561198091849339,Hi Im Yolo,57.38962
76561198851912263,Lexer,57.67988
76561197996872205,Erko,57.71102
76561198125435428,JobW,57.76257
76561197980151170,Shadynook,57.94303
76561198359568548,Kodiak,58.19702
76561197989028539,Diabler,58.24504
76561198385703512,Last Order,58.39755
76561198027169155,DeiRex,58.78638
76561198259463003,R0nanC,58.97268
76561198047403251,St Nicholas,58.98872
76561198314320065,DeeDeeNaNaNa,59.27293
76561198067016097,[314]masterofpi,59.29025
76561198008859132,[TOG]Lazy_Echidna,59.63328
76561198932043314,[ZMS] Metalted,59.66122
76561198072837360,Orblets,59.80944
76561198007897230,[POG]Shivaxi,60.25163
76561199187327002,Tommygaming5132,60.84797
76561198001016926,MRJames246,61.04493
76561198040861578,wunderBarr,61.27361
76561198046077557,maxie12,61.49737
76561197979708930,Thorn,61.73183
76561198383168783,[BROT] Vrikka,62.32983
76561198031919228,Akane,62.35032
76561198208927760,Miner_vdv,62.82553
76561197996376845,Arder,63.835
76561198076209946,maskeddog,64.11696
76561198976710411,Pvt.White,64.20159
76561198123464287,[ZET]LILWOOLEY,65.23024
76561197963702040,[RB]Chinpokomon,66.56858
76561197991251753,Mortishade,67.67831
76561198168177697,lucas,67.83697
76561198066615495,NerdyN00B,67.88446
76561199156946272,gatlinggun511,69.19086
76561199566212567,Ntbvt26,69.83588
76561198051970004,2% Rumpelmilkskim,70.98271
76561199070926075,retro_bit[|87 f.s.,85.47298
