SteamId,Username,Time
76561198050792757,justMaki,39.85976
76561198896246339,RoundNzt,39.97242
76561199126724675,ZOMAN,40.32669
76561198205579857,Linzi,40.32839
76561198253679880,[FPV]PandaMane,40.35695
76561198149636594,[KURK] Quickracer10,40.42729
76561198851912263,Lexer,40.6684
76561199208124083,[TBD] rtyyyyb,41.40712
76561198008859132,[TOG]Lazy_Echidna,42.12024
76561198027169155,DeiRex,42.45935
76561198259463003,R0nanC,42.49055
76561197980151170,Shadynook,42.58054
76561198040861578,wunderBarr,42.76708
76561198091849339,Hi Im Yolo,42.81168
76561198072837360,Orblets,42.85438
76561198314320065,DeeDeeNaNaNa,42.93696
76561198047403251,St Nicholas,42.97556
76561198932043314,[ZMS] Metalted,43.06806
76561198385703512,Last Order,43.16292
76561197996872205,Erko,43.21728
76561198359568548,Kodiak,43.33385
76561199030452322,monstermud69,43.71797
76561198053798069,JP_pne96,43.76556
76561197996376845,Arder,43.95038
76561198123464287,[ZET]LILWOOLEY,43.95871
76561198007897230,[POG]Shivaxi,44.05475
76561198031919228,Akane,44.12994
76561199156946272,gatlinggun511,44.21632
76561198076209946,maskeddog,44.23481
76561198383168783,[BROT] Vrikka,44.48877
76561199187327002,Tommygaming5132,44.50399
76561198976710411,Pvt.White,44.84216
76561198066615495,NerdyN00B,44.92825
76561197972506419,[ZEEP] the_overlord,45.45488
76561198168177697,lucas,45.56831
76561198373362263,[ZEEP]ta56637,46.28138
76561197963702040,[RB]Chinpokomon,48.05043
